Rooms,Type,Method,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,Regionname,Propertycount,Price
3.0,0,1,14.7,3167,3.0,1.0,2.0,512.0,4,3692.0,885000.0
3.0,1,1,3.4,3031,3.0,2.0,1.0,68.0,2,5263.0,855000.0
3.0,0,1,18.8,3170,3.0,2.0,2.0,197.0,4,7113.0,755000.0
3.0,0,1,11.2,3046,3.0,1.0,2.0,615.0,2,8870.0,667000.0
5.0,0,4,11.2,3186,4.0,3.0,4.0,1572.0,5,10579.0,3700000.0
3.0,0,1,15.2,3191,3.0,3.0,1.0,512.0,5,4497.0,1550000.0
2.0,0,0,1.6,3065,2.0,1.0,0.0,0.0,2,5825.0,1460000.0
3.0,0,0,6.2,3015,3.0,1.0,1.0,341.0,6,5498.0,900000.0
4.0,0,0,13,3204,4.0,2.0,2.0,384.0,5,6795.0,1150000.0
2.0,2,3,9.2,3146,3.0,1.0,2.0,512.0,5,10412.0,405000.0
3.0,0,1,13.7,3188,3.0,2.0,2.0,699.0,5,5454.0,1620000.0
3.0,0,1,13.9,3165,3.0,1.0,1.0,721.0,5,10969.0,1200000.0
2.0,1,1,7,3071,3.0,1.0,2.0,512.0,2,8870.0,625000.0
3.0,2,1,8.2,3041,3.0,1.0,2.0,512.0,6,3284.0,815000.0
2.0,2,1,20,3194,2.0,1.0,1.0,3160.0,4,6162.0,455000.0
3.0,0,1,3.8,3207,3.0,2.0,2.0,214.0,5,8648.0,3705000.0
3.0,0,3,25,3155,3.0,1.0,2.0,512.0,0,9704.0,815000.0
3.0,0,1,35.4,3198,3.0,1.0,2.0,512.0,4,8077.0,610000.0
3.0,0,1,14.7,3030,3.0,2.0,2.0,584.0,6,15542.0,673000.0
3.0,0,1,7.2,3185,3.0,2.0,2.0,576.0,5,4898.0,1690000.0
4.0,0,1,3.8,3207,4.0,1.0,1.0,190.0,5,8648.0,1375000.0
2.0,2,1,11.2,3073,2.0,1.0,1.0,146.0,2,21650.0,427500.0
4.0,0,4,8.4,3072,3.0,1.0,2.0,512.0,2,14577.0,940000.0
4.0,1,0,13.9,3165,4.0,2.0,1.0,450.0,5,10969.0,950000.0
2.0,1,3,12.6,3020,2.0,2.0,2.0,204.0,6,3755.0,410000.0
3.0,0,1,19.6,3076,3.0,2.0,2.0,535.0,2,10926.0,641000.0
2.0,2,1,5.6,3101,2.0,1.0,1.0,0.0,5,10331.0,610000.0
2.0,0,1,7.2,3184,2.0,2.0,2.0,213.0,5,8989.0,1450000.0
3.0,0,1,6.2,3015,3.0,1.0,2.0,512.0,6,984.0,1124000.0
1.0,2,3,3.3,3141,1.0,1.0,1.0,0.0,5,14887.0,510000.0
2.0,0,1,3.8,3207,2.0,1.0,2.0,163.0,5,8648.0,880000.0
3.0,0,1,12.2,3147,3.0,1.0,2.0,723.0,5,2894.0,1120000.0
3.0,2,3,2.4,3121,3.0,1.0,2.0,512.0,2,14949.0,850000.0
2.0,0,1,13.1,3060,2.0,1.0,1.0,742.0,2,5070.0,812000.0
4.0,0,0,21.8,3089,4.0,2.0,2.0,754.0,3,4258.0,1100000.0
2.0,1,1,9.9,3044,3.0,1.0,2.0,512.0,2,7485.0,590000.0
2.0,0,1,5.5,3070,2.0,1.0,2.0,301.0,2,11364.0,1050000.0
2.0,2,1,19.6,3076,3.0,1.0,2.0,512.0,2,10926.0,309000.0
3.0,1,1,13.9,3165,3.0,1.0,2.0,512.0,5,10969.0,884000.0
3.0,1,0,14.3,3109,3.0,2.0,2.0,512.0,0,10999.0,850000.0
3.0,0,1,8.6,3019,3.0,1.0,3.0,539.0,6,3589.0,785000.0
2.0,0,1,16.7,3168,3.0,1.0,2.0,512.0,4,5837.0,1366000.0
4.0,0,1,4.6,3181,4.0,2.0,2.0,787.0,5,7717.0,4200000.0
3.0,0,1,34.9,3201,3.0,2.0,2.0,509.0,4,8060.0,550000.0
2.0,2,1,13.7,3188,2.0,1.0,1.0,0.0,5,5454.0,587000.0
2.0,1,1,2.6,3121,2.0,2.0,1.0,0.0,2,14949.0,1090000.0
2.0,0,1,13,3046,3.0,1.0,2.0,512.0,2,8870.0,452000.0
3.0,0,1,8.6,3019,3.0,1.0,0.0,604.0,6,3589.0,825000.0
4.0,0,1,10.5,3081,4.0,2.0,1.0,592.0,0,2947.0,1000500.0
3.0,0,1,24.7,3175,3.0,1.0,1.0,584.0,4,10894.0,611000.0
1.0,2,3,2.5,3121,1.0,1.0,1.0,0.0,2,1123.0,405000.0
3.0,1,3,6.2,3015,3.0,1.0,2.0,512.0,6,5498.0,790000.0
3.0,0,1,8.2,3041,3.0,2.0,3.0,697.0,6,3284.0,1742000.0
3.0,0,1,8.5,3044,3.0,1.0,2.0,587.0,2,7485.0,940000.0
3.0,0,1,14.7,3030,3.0,2.0,1.0,512.0,6,16166.0,480000.0
3.0,0,1,20.6,3064,3.0,1.0,2.0,512.0,2,1158.0,545000.0
5.0,0,4,12.4,3108,5.0,4.0,2.0,440.0,0,9028.0,1600000.0
3.0,0,1,13.8,3165,3.0,1.0,4.0,512.0,5,10969.0,1350000.0
3.0,0,1,19.6,3076,3.0,1.0,2.0,512.0,2,10926.0,629250.0
1.0,2,1,5.4,3101,3.0,1.0,2.0,512.0,5,10331.0,505000.0
5.0,0,1,10.7,3187,5.0,5.0,3.0,1561.0,5,6938.0,3207000.0
2.0,2,1,0,3000,2.0,1.0,0.0,89.0,2,17496.0,565000.0
3.0,2,0,15.5,3038,3.0,1.0,2.0,512.0,6,5336.0,500000.0
2.0,0,4,9.4,3081,2.0,1.0,2.0,594.0,0,2674.0,520000.0
2.0,2,1,11.2,3046,2.0,2.0,1.0,512.0,2,2651.0,625000.0
3.0,0,0,18.4,3029,3.0,1.0,6.0,644.0,6,13830.0,610000.0
3.0,0,3,8.6,3019,3.0,1.0,0.0,588.0,6,3589.0,771000.0
2.0,0,1,5.9,3032,2.0,1.0,1.0,170.0,6,6567.0,965000.0
4.0,0,4,9.2,3104,3.0,2.0,2.0,610.0,5,7809.0,1500000.0
3.0,0,1,6.3,3013,3.0,2.0,2.0,351.0,6,6543.0,1455000.0
3.0,2,0,2.8,3000,3.0,1.0,2.0,512.0,2,17496.0,860000.0
3.0,0,1,10.5,3034,3.0,1.0,1.0,177.0,6,4502.0,560500.0
2.0,2,4,9.7,3103,2.0,1.0,1.0,0.0,5,5682.0,460000.0
3.0,0,1,8,3040,3.0,1.0,1.0,464.0,6,9264.0,980000.0
3.0,0,1,17.2,3132,3.0,1.0,2.0,658.0,0,6871.0,1050000.0
2.0,1,1,11.2,3046,3.0,1.0,2.0,512.0,2,8870.0,530000.0
3.0,1,4,17.9,3192,3.0,2.0,2.0,282.0,5,9758.0,1150000.0
3.0,0,1,13,3046,3.0,1.0,2.0,697.0,2,8870.0,683000.0
1.0,0,1,9.5,3034,1.0,1.0,2.0,242.0,6,4502.0,850000.0
2.0,2,1,3.5,3068,3.0,1.0,2.0,512.0,2,6244.0,650000.0
3.0,0,1,4.5,3181,2.0,2.0,1.0,210.0,5,7717.0,1730000.0
2.0,1,1,1.6,3065,2.0,1.0,1.0,87.0,2,5825.0,1050000.0
2.0,2,1,2.6,3121,2.0,1.0,1.0,0.0,2,14949.0,530000.0
2.0,0,1,12.6,3020,2.0,1.0,1.0,225.0,6,3755.0,425000.0
4.0,0,4,7.8,3124,4.0,3.0,4.0,697.0,5,8920.0,2000000.0
4.0,0,1,11.2,3046,4.0,2.0,4.0,697.0,2,8870.0,1030000.0
2.0,2,4,7.7,3124,2.0,1.0,1.0,0.0,5,8920.0,670000.0
3.0,0,1,10.7,3187,3.0,1.0,2.0,512.0,5,6938.0,1460000.0
2.0,2,3,5.2,3056,2.0,1.0,1.0,512.0,2,11918.0,453650.0
3.0,0,1,13.8,3165,3.0,2.0,4.0,585.0,5,10969.0,1126500.0
3.0,0,0,45.9,3437,3.0,1.0,2.0,512.0,3,3376.0,470000.0
2.0,2,3,8,3040,2.0,1.0,1.0,0.0,6,9264.0,450000.0
2.0,0,1,4.6,3142,2.0,2.0,0.0,218.0,5,7217.0,1900000.0
3.0,2,0,11.2,3073,3.0,1.0,2.0,512.0,2,21650.0,500000.0
4.0,0,1,17.9,3082,4.0,1.0,1.0,306.0,2,10529.0,654000.0
3.0,2,1,3.3,3141,3.0,2.0,2.0,15.0,5,14887.0,1320000.0
3.0,0,3,9.1,3015,3.0,2.0,2.0,738.0,6,984.0,845000.0
4.0,0,3,38,3199,4.0,3.0,2.0,1659.0,4,7566.0,1400000.0
3.0,0,1,13.9,3165,3.0,1.0,1.0,593.0,5,10969.0,1320000.0
2.0,0,0,8.8,3072,2.0,1.0,1.0,319.0,2,14577.0,630000.0
3.0,0,3,31.7,3429,3.0,1.0,6.0,639.0,6,14092.0,455000.0
4.0,0,1,11.2,3127,4.0,2.0,2.0,715.0,5,5457.0,1812500.0
1.0,2,4,2.8,3000,3.0,1.0,2.0,512.0,2,17496.0,390000.0
2.0,2,4,4,3057,2.0,1.0,1.0,512.0,2,5533.0,580000.0
2.0,2,3,6.4,3012,3.0,1.0,2.0,512.0,6,5058.0,350000.0
4.0,0,1,7.5,3123,4.0,2.0,2.0,556.0,5,6482.0,2350000.0
3.0,0,3,31.7,3337,3.0,1.0,1.0,654.0,3,3553.0,330000.0
2.0,2,1,12.1,3083,3.0,1.0,2.0,512.0,2,10175.0,521000.0
3.0,0,1,9.2,3104,3.0,1.0,1.0,696.0,5,7809.0,1922000.0
5.0,0,1,16.7,3150,5.0,3.0,2.0,745.0,0,15321.0,2202000.0
2.0,0,3,7.8,3012,2.0,1.0,1.0,220.0,6,1808.0,685000.0
4.0,0,0,9.7,3104,4.0,1.0,2.0,665.0,5,7809.0,1800000.0
4.0,2,1,3.2,3054,3.0,1.0,2.0,512.0,2,3106.0,1560000.0
3.0,0,1,9.4,3081,3.0,1.0,0.0,649.0,0,2674.0,808000.0
2.0,2,1,13.7,3188,2.0,1.0,1.0,228.0,5,5454.0,895000.0
1.0,2,1,15.3,3074,3.0,1.0,2.0,512.0,2,7955.0,315000.0
2.0,2,1,11.2,3073,2.0,1.0,1.0,135.0,2,21650.0,520000.0
3.0,0,1,8.4,3072,3.0,1.0,2.0,581.0,2,14577.0,996000.0
3.0,0,1,13,3046,3.0,1.0,4.0,704.0,2,8870.0,703000.0
4.0,0,4,16.1,3088,4.0,2.0,2.0,673.0,0,915.0,870000.0
3.0,0,1,7.8,3058,3.0,2.0,3.0,405.0,2,11204.0,1278000.0
3.0,0,1,17.9,3192,3.0,3.0,1.0,333.0,5,9758.0,1255000.0
5.0,0,1,19.9,3134,5.0,2.0,4.0,512.0,0,3619.0,1306000.0
2.0,2,4,13.1,3128,2.0,1.0,1.0,0.0,0,4605.0,420000.0
2.0,0,1,12,3073,2.0,1.0,2.0,512.0,2,21650.0,651000.0
3.0,0,1,38,3199,3.0,2.0,1.0,654.0,4,17055.0,610000.0
3.0,0,1,10.4,3042,3.0,2.0,1.0,468.0,6,1119.0,752500.0
2.0,1,1,4.3,3032,2.0,2.0,2.0,131.0,6,6567.0,838000.0
3.0,0,1,12,3073,3.0,1.0,1.0,239.0,2,21650.0,728000.0
4.0,0,1,14.7,3167,4.0,2.0,2.0,530.0,4,3692.0,1126000.0
4.0,0,4,13.4,3130,4.0,2.0,2.0,512.0,0,4387.0,1250000.0
2.0,0,1,11.2,3046,2.0,1.0,2.0,829.0,2,8870.0,1220000.0
3.0,1,1,21.5,3195,3.0,1.0,2.0,512.0,4,5087.0,960000.0
3.0,0,1,6.2,3039,3.0,1.0,2.0,242.0,6,6232.0,1275000.0
2.0,1,1,9.2,3012,2.0,1.0,2.0,127.0,6,3873.0,600000.0
3.0,0,1,12,3073,3.0,1.0,2.0,741.0,2,21650.0,906000.0
3.0,0,1,5.2,3056,3.0,1.0,1.0,480.0,2,11918.0,1317000.0
3.0,0,1,23,3136,3.0,1.0,2.0,973.0,0,11925.0,985500.0
2.0,0,1,6.5,3071,2.0,1.0,1.0,372.0,2,8870.0,940000.0
2.0,2,1,3.5,3207,3.0,1.0,2.0,512.0,5,8648.0,1000000.0
3.0,0,1,16.3,3075,3.0,1.0,2.0,596.0,2,8279.0,695000.0
3.0,0,1,17.9,3082,3.0,2.0,4.0,628.0,2,10529.0,598000.0
4.0,0,0,20.6,3064,4.0,2.0,2.0,512.0,2,15510.0,556000.0
4.0,0,1,15.5,3038,4.0,2.0,2.0,651.0,6,5336.0,701000.0
3.0,2,1,17.4,3048,3.0,1.0,1.0,658.0,2,4704.0,420000.0
4.0,0,0,18,3037,4.0,2.0,2.0,601.0,6,4242.0,720000.0
5.0,0,1,17.9,3082,5.0,2.0,2.0,541.0,2,10529.0,730000.0
4.0,0,3,8.4,3072,4.0,2.0,2.0,424.0,2,14577.0,1500000.0
2.0,2,1,2.1,3205,2.0,1.0,1.0,0.0,5,5943.0,612000.0
4.0,0,3,23.5,3178,4.0,2.0,2.0,649.0,4,11667.0,981000.0
3.0,0,1,14,3047,3.0,1.0,4.0,697.0,2,4294.0,632000.0
2.0,2,0,2.8,3000,3.0,1.0,2.0,512.0,2,17496.0,600000.0
4.0,0,3,10.3,3187,4.0,3.0,2.0,608.0,5,6938.0,2100000.0
4.0,0,0,6.3,3143,4.0,1.0,2.0,495.0,5,4836.0,2200000.0
4.0,0,0,5.9,3032,4.0,2.0,1.0,298.0,6,6567.0,950000.0
4.0,0,1,4.3,3032,4.0,4.0,2.0,311.0,6,4918.0,1440000.0
3.0,0,1,3.8,3207,3.0,3.0,0.0,92.0,5,8648.0,1400000.0
3.0,0,0,9.2,3146,3.0,2.0,1.0,704.0,5,10412.0,1360000.0
3.0,0,1,7.3,3146,3.0,1.0,2.0,717.0,5,10412.0,1688000.0
1.0,2,1,3.8,3207,3.0,1.0,2.0,512.0,5,8648.0,390000.0
3.0,0,1,14,3021,3.0,1.0,1.0,606.0,6,14042.0,550000.0
4.0,0,0,8.8,3081,4.0,2.0,4.0,596.0,0,2947.0,1645000.0
4.0,0,1,14.2,3149,4.0,2.0,3.0,741.0,0,13366.0,1720000.0
2.0,2,1,12,3073,3.0,1.0,2.0,512.0,2,21650.0,515000.0
6.0,0,0,11.8,3127,6.0,3.0,3.0,2026.0,0,2079.0,2350000.0
4.0,0,1,12.1,3083,4.0,2.0,2.0,512.0,2,10175.0,1225000.0
3.0,0,3,35.2,3806,3.0,2.0,2.0,957.0,1,17093.0,835000.0
1.0,1,1,5.2,3056,1.0,1.0,0.0,0.0,2,11918.0,895000.0
4.0,0,3,31.7,3337,4.0,2.0,2.0,650.0,7,3600.0,395000.0
3.0,0,1,23,3136,3.0,2.0,1.0,379.0,0,1863.0,702000.0
1.0,2,1,3.3,3141,1.0,1.0,1.0,0.0,5,14887.0,510000.0
3.0,0,1,23.5,3178,3.0,1.0,2.0,512.0,4,11667.0,896000.0
3.0,0,1,1.6,3053,3.0,2.0,2.0,151.0,2,6786.0,1760000.0
2.0,2,0,12.4,3108,3.0,1.0,2.0,512.0,0,9028.0,750000.0
2.0,2,1,5.4,3101,2.0,1.0,1.0,1037.0,5,10331.0,630000.0
4.0,0,1,2.6,3121,4.0,2.0,1.0,263.0,2,14949.0,1591000.0
5.0,0,1,10.5,3081,5.0,2.0,2.0,596.0,0,2947.0,890000.0
3.0,0,1,14.8,3023,3.0,1.0,2.0,512.0,6,6388.0,720000.0
3.0,0,3,12,3073,3.0,2.0,2.0,247.0,2,21650.0,635000.0
3.0,0,1,8.8,3072,3.0,1.0,2.0,468.0,2,14577.0,930000.0
3.0,1,1,13.9,3165,3.0,2.0,1.0,300.0,5,10969.0,787500.0
5.0,0,4,9.7,3103,3.0,1.0,2.0,512.0,5,5682.0,2950000.0
3.0,2,1,22.7,3174,3.0,1.0,2.0,512.0,4,11806.0,571000.0
2.0,2,1,14.7,3030,3.0,1.0,2.0,512.0,6,16166.0,355000.0
3.0,0,1,9.9,3044,3.0,1.0,2.0,590.0,2,7485.0,683500.0
3.0,0,1,8.9,3016,3.0,2.0,3.0,526.0,6,802.0,1045000.0
4.0,0,1,21.3,3135,4.0,2.0,1.0,775.0,0,3794.0,1030000.0
2.0,2,0,8.5,3044,2.0,2.0,1.0,512.0,2,7485.0,460000.0
3.0,0,1,8.4,3145,3.0,2.0,1.0,512.0,5,8801.0,1479000.0
3.0,0,1,6.2,3039,3.0,1.0,1.0,288.0,6,6232.0,1075000.0
2.0,1,1,7.8,3058,2.0,1.0,1.0,0.0,2,11204.0,781000.0
7.0,0,4,7.7,3124,7.0,3.0,3.0,654.0,5,8920.0,1700000.0
2.0,2,0,11.8,3127,3.0,1.0,2.0,512.0,0,2079.0,625000.0
2.0,2,3,7.5,3123,2.0,1.0,1.0,710.0,5,6482.0,500000.0
3.0,0,1,11.4,3163,3.0,1.0,2.0,512.0,5,7822.0,1185000.0
3.0,0,0,13,3046,3.0,1.0,2.0,512.0,2,8870.0,570000.0
3.0,0,1,25.9,3754,3.0,2.0,2.0,448.0,3,7254.0,580000.0
2.0,0,1,12.1,3163,2.0,1.0,2.0,0.0,5,4442.0,692000.0
4.0,0,1,16,3190,4.0,1.0,1.0,631.0,5,4794.0,1340000.0
3.0,0,1,13.1,3128,3.0,1.0,1.0,755.0,0,4605.0,1170000.0
4.0,0,1,14,3047,4.0,1.0,7.0,512.0,2,4294.0,680000.0
2.0,0,3,7.3,3146,2.0,1.0,2.0,512.0,5,10412.0,820000.0
3.0,0,1,15.2,3191,3.0,2.0,3.0,668.0,5,4497.0,1800000.0
2.0,2,1,5.9,3144,3.0,1.0,2.0,512.0,5,4675.0,610000.0
2.0,1,1,6.4,3011,3.0,1.0,2.0,512.0,6,7570.0,690000.0
3.0,0,3,13.8,3165,3.0,1.0,2.0,512.0,5,10969.0,1450000.0
3.0,0,1,10.7,3187,3.0,1.0,2.0,661.0,5,6938.0,1290000.0
3.0,1,1,4.3,3032,3.0,1.0,2.0,159.0,6,6567.0,855000.0
3.0,0,1,12.6,3020,3.0,1.0,1.0,700.0,6,3755.0,950000.0
3.0,0,1,21.5,3195,3.0,1.0,1.0,698.0,4,3650.0,790000.0
3.0,1,1,17.2,3133,3.0,2.0,2.0,512.0,0,4280.0,931000.0
